alpha,games_trained,wins,draws,losses
0.05,6000,0,25,75
0.05,12000,0,86,14
0.05,18000,0,94,6
0.05,24000,0,99,1
0.05,30000,0,100,0
0.05,36000,0,100,0
0.05,42000,0,100,0
0.05,48000,0,100,0
0.05,54000,0,100,0
0.05,60000,0,100,0
0.1,6000,0,25,75
0.1,12000,0,87,13
0.1,18000,0,95,5
0.1,24000,0,97,3
0.1,30000,0,100,0
0.1,36000,0,100,0
0.1,42000,0,100,0
0.1,48000,0,100,0
0.1,54000,0,100,0
0.1,60000,0,100,0
0.3,6000,0,25,75
0.3,12000,0,87,13
0.3,18000,0,96,4
0.3,24000,0,98,2
0.3,30000,0,99,1
0.3,36000,0,98,2
0.3,42000,0,100,0
0.3,48000,0,100,0
0.3,54000,0,100,0
0.3,60000,0,100,0
